time,y,x,noise
2025-01-05 12:49:14+00:00,30.52748817,114.3549278,59
2025-01-05 12:49:19+00:00,30.52748867,114.354906,60
2025-01-05 12:50:53+00:00,30.52748467,114.3549982,60
2025-01-05 12:50:58+00:00,30.52748117,114.3549897,60
2025-01-05 12:51:03+00:00,30.52747783,114.3549763,60
2025-01-05 12:51:08+00:00,30.52747683,114.354971,60
2025-01-05 12:51:11+00:00,30.52747433,114.3549723,61
2025-01-05 12:51:16+00:00,30.52747183,114.3549735,61
2025-01-05 12:51:21+00:00,30.52746967,114.354978,62
2025-01-05 12:51:26+00:00,30.52746783,114.3549857,63
2025-01-05 12:51:31+00:00,30.52746567,114.3549908,62
2025-01-05 12:51:36+00:00,30.52746417,114.3549965,61
2025-01-05 12:51:41+00:00,30.52746267,114.3549978,60
2025-01-05 12:51:46+00:00,30.52746167,114.3549962,60
2025-01-05 12:51:51+00:00,30.52746017,114.3549998,60
2025-01-05 12:51:57+00:00,30.52745917,114.3550002,61
2025-01-05 12:52:02+00:00,30.52745867,114.3550003,62
2025-01-05 12:52:07+00:00,30.52745983,114.3549972,61
2025-01-05 12:52:12+00:00,30.52745867,114.3550037,61
2025-01-05 12:52:17+00:00,30.52746417,114.3549875,62
2025-01-05 12:52:22+00:00,30.52746833,114.3549752,61
2025-01-05 12:52:27+00:00,30.52748,114.3549375,61
2025-01-05 12:52:32+00:00,30.52747933,114.3549442,60
2025-01-05 12:52:37+00:00,30.52746083,114.3550145,59
2025-01-05 12:52:43+00:00,30.52745333,114.3550462,60
2025-01-05 12:52:48+00:00,30.52745617,114.3550418,60
2025-01-05 12:52:53+00:00,30.5274535,114.355054,61
2025-01-05 12:52:58+00:00,30.52745683,114.3550402,61
2025-01-05 12:53:03+00:00,30.5274615,114.355016,61
2025-01-05 12:53:08+00:00,30.527468,114.3549787,61
2025-01-05 12:53:13+00:00,30.52747033,114.3549513,61
2025-01-05 12:57:52+00:00,30.52751567,114.3548025,60
2025-01-05 12:57:57+00:00,30.52750283,114.3548007,61
2025-01-05 12:58:02+00:00,30.52748783,114.3548258,61
2025-01-05 12:58:08+00:00,30.52747483,114.3548652,61
2025-01-05 12:58:13+00:00,30.52747217,114.3548657,61
2025-01-05 12:58:18+00:00,30.52747617,114.3548573,60
2025-01-05 12:58:23+00:00,30.5274815,114.3548472,60
2025-01-05 12:58:28+00:00,30.52748683,114.3548452,60
2025-01-05 12:58:33+00:00,30.5274895,114.3548448,59
2025-01-05 12:58:38+00:00,30.5274905,114.3548412,59
2025-01-05 12:58:43+00:00,30.5274955,114.3548372,60
2025-01-05 12:58:48+00:00,30.52750083,114.354838,61
2025-01-05 12:58:54+00:00,30.52750033,114.3548482,62
2025-01-05 12:58:59+00:00,30.527498,114.3548562,62
2025-01-05 12:59:04+00:00,30.52749267,114.3548625,62
2025-01-05 12:59:09+00:00,30.52749017,114.3548685,62
2025-01-05 12:59:14+00:00,30.5274865,114.3548655,61
2025-01-05 12:59:19+00:00,30.52748517,114.3548657,62
2025-01-05 12:59:24+00:00,30.52748467,114.3548728,60
2025-01-05 12:59:29+00:00,30.527484,114.3548867,61
2025-01-05 12:59:34+00:00,30.52748217,114.3548977,61
2025-01-05 12:59:40+00:00,30.527484,114.3549127,61
2025-01-05 12:59:45+00:00,30.5274845,114.3549125,62
2025-01-05 12:59:50+00:00,30.5274835,114.354918,61
2025-01-05 12:59:55+00:00,30.527485,114.3549385,61
2025-01-05 13:00:00+00:00,30.5274935,114.354964,62
2025-01-05 13:00:05+00:00,30.527498,114.354975,60
2025-01-05 13:00:10+00:00,30.52748633,114.3549372,60
2025-01-05 13:00:15+00:00,30.52748417,114.3548992,59
2025-01-05 13:00:20+00:00,30.52749783,114.3548975,59
2025-01-05 13:00:26+00:00,30.5275245,114.354904,61
2025-01-05 13:00:31+00:00,30.52754383,114.3549285,60
2025-01-05 13:00:36+00:00,30.52756833,114.3548967,60
2025-01-05 13:00:41+00:00,30.527578,114.3549168,60
2025-01-05 13:00:46+00:00,30.52757233,114.354873,59
2025-01-05 13:01:22+00:00,30.52752033,114.3549735,62
2025-01-05 13:01:42+00:00,30.52748383,114.3549562,61
2025-01-05 13:01:47+00:00,30.52749017,114.3549572,61
2025-01-05 13:01:52+00:00,30.5274945,114.3549605,61
2025-01-05 13:01:58+00:00,30.52749033,114.3549487,61
2025-01-05 13:02:03+00:00,30.52747233,114.3549063,59
2025-01-05 13:02:08+00:00,30.52746967,114.3548985,60
2025-01-05 13:02:13+00:00,30.52745417,114.3548633,59
2025-01-05 13:02:18+00:00,30.52745533,114.3548782,59
2025-01-05 13:02:23+00:00,30.52745283,114.3548787,60
2025-01-05 13:02:28+00:00,30.5274555,114.3548893,61
2025-01-05 13:02:33+00:00,30.52745967,114.3548977,62
2025-01-05 13:02:38+00:00,30.52745417,114.3548657,63
2025-01-05 13:02:44+00:00,30.52747517,114.3548905,64
2025-01-05 13:02:49+00:00,30.52746217,114.354871,63
2025-01-05 13:02:54+00:00,30.5274455,114.3548595,62
2025-01-05 13:02:59+00:00,30.52744483,114.3548898,61
2025-01-05 13:03:04+00:00,30.52744167,114.3549033,59
2025-01-05 13:03:09+00:00,30.52745183,114.3549332,59
2025-01-05 13:03:14+00:00,30.5274745,114.3549835,60
2025-01-05 13:03:19+00:00,30.52747833,114.3549785,60
2025-01-05 13:03:24+00:00,30.52747783,114.3549625,60
2025-01-05 13:03:42+00:00,30.52756833,114.3549487,61
2025-01-05 13:03:47+00:00,30.52756767,114.354897,62
2025-01-05 13:03:52+00:00,30.52756733,114.3548507,61
2025-01-05 13:03:57+00:00,30.527576,114.3548565,61
2025-01-05 13:04:02+00:00,30.527571,114.3548532,61
2025-01-05 13:04:07+00:00,30.5275595,114.3548588,61
2025-01-05 13:04:13+00:00,30.52754817,114.3547755,61
2025-01-05 13:04:28+00:00,30.52745117,114.3548303,61
2025-01-05 13:04:33+00:00,30.5274365,114.3549235,61
2025-01-05 13:04:38+00:00,30.52743917,114.3548842,61
2025-01-05 13:04:43+00:00,30.5274505,114.3548667,61
2025-01-05 13:04:53+00:00,30.52748733,114.3548847,60
2025-01-05 13:04:58+00:00,30.527487,114.3549692,59
2025-01-05 13:05:04+00:00,30.527488,114.3550195,59
2025-01-05 13:05:09+00:00,30.52748483,114.3550555,59
2025-01-05 13:05:14+00:00,30.5274795,114.3550713,60
2025-01-05 13:05:19+00:00,30.527485,114.3550953,60
2025-01-05 13:05:24+00:00,30.52749467,114.3551237,61
2025-01-05 13:05:29+00:00,30.52747733,114.355088,61
2025-01-05 13:05:34+00:00,30.5274725,114.3550772,61
2025-01-05 13:05:39+00:00,30.5274705,114.3550733,61
2025-01-05 13:05:44+00:00,30.52747267,114.3550767,61
2025-01-05 13:05:50+00:00,30.52747767,114.3550835,61
2025-01-05 13:05:55+00:00,30.52747617,114.3550783,61
2025-01-05 13:06:00+00:00,30.52747733,114.3550772,60
2025-01-05 13:06:05+00:00,30.52747717,114.355072,61
2025-01-05 13:06:10+00:00,30.52747667,114.3550668,61
2025-01-05 13:06:15+00:00,30.5274765,114.3550632,61
2025-01-05 13:06:20+00:00,30.52747683,114.355062,60
2025-01-05 13:06:25+00:00,30.52747567,114.3550553,60
2025-01-05 13:06:30+00:00,30.52747417,114.3550467,60
2025-01-05 13:06:36+00:00,30.52747217,114.355028,60
2025-01-05 13:06:41+00:00,30.52747067,114.3550123,61
2025-01-05 13:06:46+00:00,30.52746883,114.355001,62
2025-01-05 13:06:51+00:00,30.5274705,114.3549925,62
2025-01-05 13:06:56+00:00,30.52747833,114.3550013,61
2025-01-05 13:07:01+00:00,30.52748067,114.3550283,61
2025-01-05 13:07:06+00:00,30.52748267,114.3550468,61
2025-01-05 13:07:11+00:00,30.52748217,114.3550548,61
2025-01-05 13:07:16+00:00,30.52747933,114.3550555,62
2025-01-05 13:07:22+00:00,30.5274765,114.35507,62
2025-01-05 13:07:27+00:00,30.527474,114.3550858,62
2025-01-05 13:07:32+00:00,30.527474,114.3550873,61
2025-01-05 13:07:37+00:00,30.52747683,114.3550923,60
2025-01-05 13:07:42+00:00,30.5274825,114.3550863,60
2025-01-05 13:07:47+00:00,30.52748583,114.3550762,60
2025-01-05 13:07:52+00:00,30.52748833,114.3550733,60
2025-01-05 13:07:57+00:00,30.52749,114.3550703,60
2025-01-05 13:08:02+00:00,30.52748917,114.3550565,60
2025-01-05 13:08:08+00:00,30.52749117,114.3550457,61
2025-01-05 13:08:13+00:00,30.52749483,114.355045,61
2025-01-05 13:08:18+00:00,30.52749733,114.3550473,61
2025-01-05 13:08:23+00:00,30.527499,114.3550515,60
2025-01-05 13:08:28+00:00,30.52749917,114.3550552,60
2025-01-05 13:08:33+00:00,30.52749867,114.355063,61
2025-01-05 13:08:38+00:00,30.52749667,114.3550708,63
2025-01-05 13:08:43+00:00,30.52749667,114.3550768,65
2025-01-05 13:08:48+00:00,30.52749817,114.3550775,66
2025-01-05 13:08:54+00:00,30.52749917,114.355075,65
2025-01-05 13:08:59+00:00,30.52749817,114.3550665,65
2025-01-05 13:09:04+00:00,30.52749767,114.3550595,63
2025-01-05 13:09:09+00:00,30.52749117,114.3550582,63
2025-01-05 13:09:14+00:00,30.527484,114.3550545,61
2025-01-05 13:09:19+00:00,30.52747817,114.3550515,60
2025-01-05 13:09:24+00:00,30.527472,114.3550485,60
2025-01-05 13:09:29+00:00,30.52746783,114.3550468,59
2025-01-05 13:09:34+00:00,30.5274685,114.3550453,59
2025-01-05 13:09:40+00:00,30.52746983,114.3550377,59
2025-01-05 13:09:45+00:00,30.52747033,114.3550318,60
2025-01-05 13:09:50+00:00,30.527471,114.3550327,60
2025-01-05 13:09:55+00:00,30.52746983,114.3550263,60
2025-01-05 13:10:00+00:00,30.52746633,114.3550145,60
2025-01-05 13:10:05+00:00,30.52746133,114.3550033,61
2025-01-05 13:10:10+00:00,30.52745833,114.3550008,60
2025-01-05 13:10:15+00:00,30.52746,114.3549987,61
2025-01-05 13:10:20+00:00,30.52746167,114.3550025,60
2025-01-05 13:10:26+00:00,30.52746233,114.3550142,60
2025-01-05 13:10:31+00:00,30.52746167,114.355022,61
2025-01-05 13:10:36+00:00,30.52746367,114.3550315,60
2025-01-05 13:10:41+00:00,30.52746483,114.3550412,61
2025-01-05 13:10:46+00:00,30.52747,114.3550485,61
2025-01-05 13:10:51+00:00,30.52747583,114.3550535,62
2025-01-05 13:10:56+00:00,30.5274825,114.3550567,62
2025-01-05 13:11:01+00:00,30.527487,114.3550548,60
2025-01-05 13:11:06+00:00,30.5274895,114.3550572,60
